2018-09-26 14:22:14,977 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:19,987 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:25,001 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:30,013 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:35,028 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:40,040 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:45,056 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:50,071 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:22:55,083 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:00,098 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:05,107 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:10,117 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:15,132 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:20,147 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:25,157 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:30,170 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:35,184 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:40,199 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:45,213 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:50,227 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:23:55,237 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:00,252 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:05,266 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:10,284 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:15,295 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:20,307 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:25,317 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:30,333 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:35,354 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:40,370 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:45,388 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:50,404 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:24:55,419 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:00,438 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:05,458 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:10,477 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:15,494 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:20,506 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:25,516 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:30,530 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:35,545 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:40,558 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:45,574 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:50,594 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:25:55,614 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:00,633 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:05,651 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:10,671 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:15,684 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:20,702 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:25,723 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:30,742 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:35,762 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:40,781 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:45,791 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:50,811 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:26:55,826 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:00,846 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:05,862 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:10,875 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:15,896 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:20,910 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:25,924 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:30,932 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:35,946 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:40,957 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:45,977 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:50,988 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:27:55,997 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:28:01,010 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:28:06,024 : ERROR : bot.py : Could not connect, will retry in 5 seconds...
2018-09-26 14:28:08,275 : WARNING : bot.py :  SIGTERM recieved from the os: program terminated
2018-09-26 14:28:08,276 : ERROR : bot.py : Something happened and Rover stopped.
2018-09-26 14:28:08,529 : WARNING : bot.py :  SIGTERM recieved from the os: program terminated
